Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]"
2015,YR2015,Niger,NER,20001663
2015,YR2015,Nigeria,NGA,181137448
2015,YR2015,North Macedonia,MKD,2079328
2015,YR2015,Northern Mariana Islands,MNP,55780
2015,YR2015,Norway,NOR,5188607
2015,YR2015,Oman,OMN,4267348
2015,YR2015,Pakistan,PAK,199426964
2015,YR2015,Palau,PLW,17665
2015,YR2015,Panama,PAN,3968487
2015,YR2015,Papua New Guinea,PNG,8107775
2015,YR2015,Paraguay,PRY,6688746
2015,YR2015,Peru,PER,30470734
2015,YR2015,Philippines,PHL,102113212
2015,YR2015,Poland,POL,37986412
2015,YR2015,Portugal,PRT,10358076
2015,YR2015,Puerto Rico,PRI,3473232
2015,YR2015,Qatar,QAT,2565710
2015,YR2015,Romania,ROU,19815616
2015,YR2015,Russian Federation,RUS,144096870
2015,YR2015,Rwanda,RWA,11369071
2015,YR2015,Samoa,WSM,193513
2015,YR2015,San Marino,SMR,33272
2015,YR2015,Sao Tome and Principe,STP,199432
2015,YR2015,Saudi Arabia,SAU,31717667
2015,YR2015,Senegal,SEN,14578459
2015,YR2015,Serbia,SRB,7095383
2015,YR2015,Seychelles,SYC,93419
2015,YR2015,Sierra Leone,SLE,7171914
2015,YR2015,Singapore,SGP,5535002
2015,YR2015,Sint Maarten (Dutch part),SXM,38825
2015,YR2015,Slovak Republic,SVK,5423801
2015,YR2015,Slovenia,SVN,2063531
2015,YR2015,Solomon Islands,SLB,603118
2015,YR2015,Somalia,SOM,13797201
2015,YR2015,South Africa,ZAF,55386367
2015,YR2015,South Sudan,SSD,10715658
2015,YR2015,Spain,ESP,46444832
2015,YR2015,Sri Lanka,LKA,20970000
2015,YR2015,St. Kitts and Nevis,KNA,51204
2015,YR2015,St. Lucia,LCA,179126
2015,YR2015,St. Martin (French part),MAF,35858
2015,YR2015,St. Vincent and the Grenadines,VCT,109148
2015,YR2015,Sudan,SDN,38902950
2015,YR2015,Suriname,SUR,559136
2015,YR2015,Sweden,SWE,9799186
2015,YR2015,Switzerland,CHE,8282396
2015,YR2015,Syrian Arab Republic,SYR,17997408
2015,YR2015,Tajikistan,TJK,8454028
2015,YR2015,Tanzania,TZA,51482633
2015,YR2015,Thailand,THA,68714511
2015,YR2015,Timor-Leste,TLS,1196302
2015,YR2015,Togo,TGO,7323158
2015,YR2015,Tonga,TON,100781
2015,YR2015,Trinidad and Tobago,TTO,1370328
2015,YR2015,Tunisia,TUN,11179949
2015,YR2015,Turkey,TUR,78529409
2015,YR2015,Turkmenistan,TKM,5565287
2015,YR2015,Turks and Caicos Islands,TCA,35981
2015,YR2015,Tuvalu,TUV,11099
2015,YR2015,Uganda,UGA,38225453
2015,YR2015,Ukraine,UKR,45154036
2015,YR2015,United Arab Emirates,ARE,9262900
2015,YR2015,United Kingdom,GBR,65116219
2015,YR2015,United States,USA,320635163
2015,YR2015,Uruguay,URY,3412009
2015,YR2015,Uzbekistan,UZB,31298900
2015,YR2015,Vanuatu,VUT,271130
2015,YR2015,"Venezuela, RB",VEN,30081829
2015,YR2015,Vietnam,VNM,92677076
2015,YR2015,Virgin Islands (U.S.),VIR,107710
2015,YR2015,West Bank and Gaza,PSE,4270092
2015,YR2015,"Yemen, Rep.",YEM,26497889
2015,YR2015,Zambia,ZMB,15879361
2015,YR2015,Zimbabwe,ZWE,13814629
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
