Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Electricity production from oil sources (% of total) [EG.ELC.PETR.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]","Population, total [SP.POP.TOTL]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
2015,YR2015,Colombia,COL,94109.888,11.8521523682571,..,64.9593578393729,19.3430604054074,..,0.567976005911587,31.763188779576,3.27745338105105,47520667,6175.87602970259
2015,YR2015,Comoros,COM,168.682,..,..,..,..,..,..,..,..,777424,1242.6031895579
2015,YR2015,"Congo, Dem. Rep.",COD,2838.258,0,..,99.7092373070901,0.044732721986133,..,0.134198165958399,0.178930887944531,0.111831804965332,76244544,497.316960805476
2015,YR2015,"Congo, Rep.",COG,3230.627,0,..,53.3448673587082,46.6551326412918,..,0,46.6551326412918,0,4856095,2461.49416964392
2015,YR2015,Costa Rica,CRI,7513.683,0,..,74.6115427302997,0,..,0.998890122086571,0.998890122086571,24.3895671476138,4847804,11299.1355423011
2015,YR2015,Cote d'Ivoire,CIV,10960.663,0,..,15.5206061301802,78.0507404431179,..,5.22328090919527,83.2740213523132,1.2053725175066,23226143,1972.54610769746
2015,YR2015,Croatia,HRV,17311.907,20.5552589428724,..,56.869549741947,10.6513614522157,..,1.96654208933974,33.1731624844278,9.9572877736252,4203604,11781.7347932429
2015,YR2015,Cuba,CUB,29244.325,0,..,0.236593059936909,14.5406151419558,..,45.9680599369085,60.5086750788643,3.71155362776025,11324781,7694.01191952409
2015,YR2015,Curacao,CUW,6395.248,..,..,..,..,..,..,..,..,157980,19951.3279030441
2015,YR2015,Cyprus,CYP,6138.558,0,..,0,0,..,91.2199426428414,91.2199426428414,8.78005735715861,1160985,23333.7149112129
2015,YR2015,Czech Republic,CZE,99852.41,53.0611503824925,18.9565725567366,2.17270262418902,2.74038927084342,32.488864142539,0.113779413188729,55.9153190665246,9.23186791904716,10546059,17829.6983223668
2015,YR2015,Denmark,DNK,30817.468,24.5448578436453,11.7489461107418,0.062182609596849,6.2735343904377,0,1.08128648910077,31.8996787231838,65.443742011262,5683483,53254.8563700916
2015,YR2015,Djibouti,DJI,627.057,..,..,..,..,..,..,..,..,913993,2658.97875260181
2015,YR2015,Dominica,DMA,176.016,..,..,..,..,..,..,..,..,71183,7596.43506226258
2015,YR2015,Dominican Republic,DOM,24136.194,12.8569106572032,..,6.36614834480143,22.0295822723086,..,53.4810640949233,88.3675570244352,5.2662946307634,10281680,6921.51722848184
2015,YR2015,Ecuador,ECU,43270.6,0,..,50.7007355787844,12.6674409601239,..,34.5296167247387,47.1970576848626,2.10220673635308,16212020,6124.49164262072
2015,YR2015,"Egypt, Arab Rep.",EGY,224581.748,0,..,7.38115256323601,70.7287184644213,..,21.0119960214752,91.7407144858966,0.878132950867417,92442547,3562.93273506849
2015,YR2015,El Salvador,SLV,6849.956,0,..,22.5914175989314,0,..,42.1773250960093,42.1773250960093,35.2312573050593,6325124,3705.57794598177
2015,YR2015,Equatorial Guinea,GNQ,6028.548,..,..,..,..,..,..,..,..,1168568,11283.46560612
2015,YR2015,Eritrea,ERI,693.063,0,..,0,0,..,99.5073891625616,99.5073891625616,0.492610837438424,..,..
2015,YR2015,Estonia,EST,16362.154,5.3278295094557,0.933236763253142,0.259191705865412,0.595180954209465,0,1.22876067965825,7.15177114332341,14.1595468944994,1315407,17522.230186252
2015,YR2015,Eswatini,SWZ,982.756,..,..,..,..,..,..,..,..,1104044,3679.79979948884
2015,YR2015,Ethiopia,ETH,13718.247,0,..,92.6894701542589,0,..,0.038325189230622,0.038325189230622,7.27220465651049,100835458,640.541891313682
2015,YR2015,Faroe Islands,FRO,608.722,..,..,..,..,..,..,..,..,48051,52404.6593331379
2015,YR2015,Fiji,FJI,2156.196,..,..,..,..,..,..,..,..,868627,5390.74525792812
2015,YR2015,Finland,FIN,42606.873,8.30357012697348,25.3513137210655,24.4456754668571,7.57321748764523,33.8979838768459,0.309051416242693,16.1858390308614,20.0533551029928,5479531,42784.6983616432
2015,YR2015,France,FRA,..,2.16044891338683,49.0615406348183,9.66114989689331,3.51272595626573,77.6278008284028,0.382612769612454,6.05578763926501,6.19651673309742,66548272,36638.184929157
2015,YR2015,French Polynesia,PYF,766.403,..,..,..,..,..,..,..,..,273124,..
2015,YR2015,Gabon,GAB,5262.145,0,..,43.1796801505174,46.0489181561618,..,10.2069614299153,56.2558795860771,0.564440263405456,1947686,7384.71587003183
2015,YR2015,"Gambia, The",GMB,524.381,..,..,..,..,..,..,..,..,2085860,660.723571244322
2015,YR2015,Georgia,GEO,9798.224,0,..,78.0393242869011,21.9606757130989,..,0,21.9606757130989,0,3725276,4014.18594419329
2015,YR2015,Germany,DEU,727045.089,44.2628091617821,12.8636198591601,2.9606828432665,9.83155139032119,14.3199259868293,0.968692616000512,55.0630531681038,26.2710872790643,81686611,41086.7296737253
2015,YR2015,Ghana,GHA,16552.838,0,..,50.8658950482987,38.847793925681,..,0,38.847793925681,0.026107388390915,27849205,1743.8509964087
2015,YR2015,Gibraltar,GIB,579.386,0,..,0,0,..,100,100,0,33736,..
2015,YR2015,Greece,GRC,65059.914,42.6594882482343,6.20248117731642,11.7672031183667,17.540812782216,0,10.9277912855544,71.1280923160048,16.888580139709,10820883,18167.7737271656
2015,YR2015,Greenland,GRL,509.713,..,..,..,..,..,..,..,..,56114,44536.4013080999
2015,YR2015,Grenada,GRD,260.357,..,..,..,..,..,..,..,..,109599,9096.87064595412
2015,YR2015,Guam,GUM,..,..,..,..,..,..,..,..,..,161853,35278.9259389693
2015,YR2015,Guatemala,GTM,15834.106,21.3601012841382,..,35.0425031651293,0,..,18.249231325737,39.6093326098752,25.3481642249955,15567419,3994.63691288475
2015,YR2015,Guinea,GIN,2702.579,..,..,..,..,..,..,..,..,11432088,769.256013746016
