Time,Time Code,Country Name,Country Code,Individuals using the Internet (% of population) [IT.NET.USER.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],GDP per capita (current US$) [NY.GDP.PCAP.CD]
2016,YR2016,Israel,ISR,79.6531,130.349,37321.6240397313
2016,YR2016,Italy,ITA,61.3243,141.694,30939.7142462298
2016,YR2016,Jamaica,JAM,44.3669,112.425,4843.33847410864
2016,YR2016,Japan,JPN,93.1827,130.595,38761.8181501925
2016,YR2016,Jordan,JOR,62.3022,102.765,4176.58891025118
2016,YR2016,Kazakhstan,KAZ,74.5877,143.205,7714.84184376024
2016,YR2016,Kenya,KEN,16.6,79.4719,1410.52756809011
2016,YR2016,Kiribati,KIR,13.7,46.2124,1584.80744578963
2016,YR2016,"Korea, Dem. People’s Rep.",PRK,0,14.2486,..
2016,YR2016,"Korea, Rep.",KOR,92.843,120.226,29288.8704389833
2016,YR2016,Kosovo,XKX,..,..,3780.00368867233
2016,YR2016,Kuwait,KWT,78.3674,193.571,27653.0667677649
2016,YR2016,Kyrgyz Republic,KGZ,37,125.339,1120.66651300848
2016,YR2016,Lao PDR,LAO,21.87,57.8235,2308.80048220079
2016,YR2016,Latvia,LVA,79.8421,134.241,14315.7928949778
2016,YR2016,Lebanon,LBN,76.11,63.7007,7629.89111711952
2016,YR2016,Lesotho,LSO,27.36,110.019,1043.56979064916
2016,YR2016,Liberia,LBR,7.31911,67.9561,714.623392230031
2016,YR2016,Libya,LBY,20.2722,117.989,4035.1943155047
2016,YR2016,Liechtenstein,LIE,98.0939,117.632,165629.190482925
2016,YR2016,Lithuania,LTU,74.3766,145.513,14998.1250595137
2016,YR2016,Luxembourg,LUX,98.1367,131.892,104278.390971905
2016,YR2016,"Macao SAR, China",MAC,81.643,321.452,74061.0860345658
2016,YR2016,Madagascar,MDG,4.71366,32.1288,475.955417183065
2016,YR2016,Malawi,MWI,11.47,41.722,315.777326372575
2016,YR2016,Malaysia,MYS,78.7883,141.651,9817.73845699838
2016,YR2016,Maldives,MDV,59.0926,170.79,9209.24472691509
2016,YR2016,Mali,MLI,11.1122,112.537,780.718598502648
2016,YR2016,Malta,MLT,78.0751,134.252,25617.8269140977
2016,YR2016,Marshall Islands,MHL,29.7878,26.9851,3473.77500649519
2016,YR2016,Mauritania,MRT,18,86.8054,1536.85414964338
2016,YR2016,Mauritius,MUS,52.1913,143.755,9681.61856689674
2016,YR2016,Mexico,MEX,59.5404,90.5924,8744.51577183222
2016,YR2016,"Micronesia, Fed. Sts.",FSM,33.3522,21.2421,3014.70035839042
2016,YR2016,Moldova,MDA,71,93.1747,2880.43928129296
2016,YR2016,Monaco,MCO,95.2082,87.4626,170028.655717864
2016,YR2016,Mongolia,MNG,22.2658,110.182,3660.15074616061
2016,YR2016,Montenegro,MNE,69.8816,165.918,7028.66345418521
2016,YR2016,Morocco,MAR,58.2712,118.185,2896.72000268117
2016,YR2016,Mozambique,MOZ,17.5212,53.9908,428.926487995524
2016,YR2016,Myanmar,MMR,25.0733,95.3647,1266.54633814868
2016,YR2016,Namibia,NAM,31.0333,112.803,4523.0912813127
2016,YR2016,Nauru,NRU,54,94.5107,7670.11640425255
2016,YR2016,Nepal,NPL,19.6888,117.815,777.147595512165
2016,YR2016,Netherlands,NLD,90.411,123.018,46007.8529206547
2016,YR2016,New Caledonia,NCL,74.0018,96.0201,..
2016,YR2016,New Zealand,NZL,88.4702,130.922,40105.6133867135
